"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.199298208E0,3.158757989E-1,1.569667500E-1,3.374637191E-1,4.881576002E-1
2.209240208E0,3.391047402E-1,1.329838103E-1,4.396496598E-1,5.709365481E-1
2.219182208E0,3.311091113E-1,1.033583075E-1,5.232348767E-1,6.277666123E-1
2.229123208E0,2.621226378E-1,8.393502653E-2,6.082552926E-1,6.676285396E-1
2.239065208E0,1.597215195E-1,7.942389965E-2,6.546962182E-1,6.785619042E-1
2.249006208E0,6.674932882E-2,6.674479723E-2,6.729420161E-1,6.795302038E-1
2.258948208E0,-2.888553768E-2,8.766964316E-2,6.386245613E-1,6.452609324E-1
2.268889208E0,-1.388392121E-1,1.030852425E-1,5.718707009E-1,5.974437150E-1
2.278831208E0,-2.449658838E-1,1.014889526E-1,5.038136423E-1,5.693298498E-1
2.288772208E0,-2.770562804E-1,7.484786868E-2,3.967990708E-1,4.897059205E-1
2.298714208E0,-2.581123249E-1,2.885367036E-2,2.756120181E-1,3.787036983E-1
2.308655208E0,-2.010224502E-1,-1.112783611E-2,1.742435181E-1,2.662605074E-1
2.318597208E0,-1.656732541E-1,-4.951246798E-2,5.898101047E-2,1.826961171E-1
2.328539208E0,-1.482337873E-1,-8.211537302E-2,-2.902894065E-2,1.719269309E-1
2.338480208E0,-1.104359235E-1,-7.138573229E-2,-7.715035602E-2,1.524604651E-1
2.348422208E0,-7.160500288E-2,-3.665911853E-2,-9.348279878E-2,1.233296440E-1
2.358363208E0,-3.223336101E-2,-1.781822026E-2,-6.551205799E-2,7.515522788E-2
2.368305208E0,-2.722799823E-2,-9.669540524E-3,-1.160789251E-2,3.113851425E-2
2.378246208E0,-5.910073221E-2,-3.290812969E-3,3.930147529E-2,7.105161474E-2
2.388188208E0,-1.047699715E-1,2.655571461E-2,1.122104073E-1,1.557983582E-1
2.398129208E0,-1.435963605E-1,4.155791581E-2,1.541092157E-1,2.147012471E-1
2.408071208E0,-1.633330522E-1,4.558080018E-2,1.997771394E-1,2.620423644E-1
2.418013208E0,-1.789331312E-1,3.117443025E-2,1.984591770E-1,2.690259383E-1
2.427954208E0,-1.667976737E-1,2.667499781E-3,2.074277826E-1,2.661857706E-1
2.437896208E0,-1.193036646E-1,-1.932621717E-2,2.220338349E-1,2.527961449E-1
