"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.047284417E0,3.849017411E0,1.274360013E0,-9.789713962E-1,4.171008688E0
2.057226417E0,3.120402886E0,2.031706587E0,-7.229776637E-1,3.793078239E0
2.067168417E0,3.323826349E-1,1.186927475E0,-4.227093990E-1,1.303057283E0
2.077110417E0,-1.132179410E0,1.464055091E-1,3.394226825E-1,1.190996451E0
2.087051417E0,-1.858727530E0,-7.810155183E-1,5.235913376E-1,2.083026922E0
2.096993417E0,-1.168050324E0,-2.079038921E-1,1.400883235E-2,1.186491397E0
2.106935417E0,-2.011295419E0,7.422742063E-1,-8.970323168E-2,2.145769543E0
2.116876417E0,-3.044965033E0,4.108855981E-1,1.573385160E0,3.451982023E0
2.126818417E0,-3.509571925E0,-2.416309243E-1,3.017319982E0,4.634619777E0
2.136760417E0,-3.361287705E0,-1.002477642E0,2.648207477E0,4.395022105E0
2.146701417E0,-2.404583237E0,-1.323856401E0,1.211801603E0,3.000513196E0
2.156643417E0,-1.782061762E0,-4.890236950E-1,1.944585486E-1,1.858144888E0
2.166585417E0,-1.847600278E0,4.483510476E-1,-9.263389271E-2,1.903477472E0
2.176526417E0,-1.823940105E0,1.145449081E0,3.475603256E-3,2.153792744E0
2.186468417E0,-1.873418074E0,1.982994311E0,-2.977893194E-1,2.744201195E0
2.196410417E0,-2.454355906E0,3.053717730E0,-5.106233096E-1,3.950922810E0
2.206352417E0,-2.302844608E0,4.033266100E0,-9.902166152E-1,4.748774334E0
2.216293417E0,-1.236555133E0,4.564434187E0,-1.456827933E0,4.948280072E0
2.226235417E0,4.647361153E-1,4.578899029E0,-1.168680654E0,4.748485068E0
2.236177417E0,1.793961430E0,4.452340724E0,-6.339288086E-1,4.841848951E0
2.246118417E0,2.651232827E0,4.101079769E0,-1.249503573E-1,4.885028491E0
2.256060417E0,2.721046827E0,3.637967425E0,-8.401871480E-2,4.543782782E0
2.266002417E0,2.339800766E0,3.222584733E0,-1.907607329E-1,3.986992556E0
2.275943583E0,1.993556136E0,2.930988182E0,-5.580244211E-1,3.588363004E0
2.285885583E0,1.743633860E0,3.335866351E0,-1.036613029E0,3.904206695E0
2.295827583E0,1.733957303E0,3.264666560E0,-1.009999354E0,3.832069202E0
2.305768583E0,1.570044061E0,1.586118641E0,-2.008642830E-2,2.231863384E0
2.315710583E0,8.107556266E-1,1.890335239E0,5.618952048E-1,2.132233154E0
2.325652583E0,-7.009057403E-3,2.301888004E0,7.941529693E-1,2.435039311E0
2.335594583E0,7.910130876E-1,3.736391852E0,-7.781547680E-3,3.819212789E0
2.345535583E0,1.317151399E0,4.773378591E0,-1.073441790E0,5.066784805E0
2.355477583E0,1.301531147E0,5.170284666E0,-1.349716444E0,5.499778298E0
2.365419583E0,9.541597599E-1,5.251833444E0,-8.993754423E-1,5.413044573E0
2.375360583E0,5.656754297E-1,5.051528301E0,-7.323591558E-1,5.135589236E0
2.385302583E0,3.224838835E-1,4.650226874E0,-9.472525171E-1,4.756668284E0
2.395244583E0,4.887412745E-1,4.356834642E0,-1.332092789E0,4.582068019E0
2.405185583E0,1.011986969E0,4.271919038E0,-1.535553675E0,4.650949901E0
2.415127583E0,1.750628007E0,4.616540480E0,-1.999462409E0,5.326818407E0
2.425069583E0,2.554812825E0,5.240786884E0,-2.011077318E0,6.167442559E0
2.435010583E0,2.951144119E0,5.902640825E0,-1.769580295E0,6.832410610E0
2.444952583E0,3.239482017E0,6.084992677E0,-1.421494378E0,7.038609656E0
2.454894583E0,3.476215021E0,6.051706232E0,-1.020547292E0,7.053278385E0
2.464835583E0,3.414611681E0,6.247668064E0,-1.394990119E0,7.255268885E0
2.474777583E0,3.302386071E0,6.472426262E0,-2.348586207E0,7.636354671E0
2.484719583E0,3.259755483E0,6.471411186E0,-3.497620801E0,8.046025094E0
2.494661583E0,3.325763824E0,6.091332813E0,-3.895758884E0,7.958767350E0
2.504602583E0,3.250009929E0,5.346113949E0,-4.639146985E0,7.788785762E0
2.514544583E0,4.084160265E0,-5.840684313E0,-4.791690316E0,8.588029716E0
2.524486583E0,1.501699758E0,-4.914993593E1,-5.451601228E0,4.947414739E1
2.534427583E0,-1.304850027E-2,-6.737508965E1,-5.450142932E0,6.759516946E1
2.544369583E0,-3.586563675E-1,-4.121171854E1,-4.519193695E0,4.146031224E1
2.554311583E0,-1.110498592E0,-1.212579678E1,-1.292897880E0,1.224498834E1
2.564252583E0,2.930361360E-1,4.055903596E-1,7.637703252E-1,9.130820480E-1
2.574194583E0,1.750932355E0,6.630984625E0,4.060231705E0,7.970018990E0
2.584136583E0,3.002659551E0,1.062202740E1,5.546354188E0,1.235335886E1
2.594077583E0,3.319139805E0,1.026683594E1,2.803482628E0,1.114827898E1
2.604019583E0,3.562056825E0,7.032164429E0,1.584883125E0,8.040611911E0
2.613961583E0,3.494599544E0,2.638446136E0,2.707542244E-1,4.387132530E0
2.623902583E0,2.818646797E0,-8.732278633E-1,-5.664924319E-1,3.004698045E0
2.633844583E0,1.156600818E0,-3.502057668E0,-8.107926102E-1,3.776177699E0
2.643786583E0,-8.451624707E-1,-4.437367174E0,2.910890132E-3,4.517137978E0
2.653728583E0,-1.443578727E0,-3.168619026E0,1.709456739E0,3.878957130E0
2.663669583E0,-7.987789940E-1,-1.028382561E0,2.964056525E0,3.237475816E0
2.673611583E0,-1.383421987E-1,5.788082761E-1,3.161916947E0,3.217433195E0
2.683553583E0,2.555261014E-1,1.557110020E0,2.583775839E0,3.027504383E0
2.693494583E0,6.062084748E-1,1.780994645E0,1.649513569E0,2.502064278E0
2.703436583E0,6.012392917E-1,1.528452231E0,8.125382964E-1,1.832450106E0
2.713378583E0,1.035595979E-1,1.035650066E0,-1.049189293E-1,1.046089686E0
2.723319583E0,-7.588153215E-1,3.098001033E-1,-7.826897223E-1,1.133304901E0
2.733261583E0,-1.188919694E0,-4.130718720E-1,-9.945387308E-1,1.604140174E0
2.743203583E0,-1.116555284E0,-8.123595178E-1,-1.044274051E0,1.731222684E0
2.753144583E0,-1.006057015E0,-7.860985029E-1,-9.869620550E-1,1.613752048E0
2.763086583E0,-9.315132013E-1,-4.635204792E-1,-8.062632108E-1,1.316293449E0
2.773028583E0,-8.232967347E-1,-1.173050863E-1,-4.702424383E-1,9.553564504E-1
2.782969583E0,-8.430161771E-1,3.059900576E-1,-2.334876533E-1,9.267268608E-1
2.792911583E0,-9.493181922E-1,1.145370144E-1,2.854617991E-2,9.566287901E-1
2.802853583E0,-8.991672083E-1,1.175348818E-2,3.224810330E-1,9.553187058E-1
2.812795583E0,-5.376342300E-1,1.261718041E-1,4.717789404E-1,7.263231085E-1
2.822736583E0,-1.353541254E-1,1.632080680E-1,5.621361101E-1,6.007949891E-1
2.832678583E0,1.527419174E-1,3.528519827E-1,5.966499583E-1,7.098068665E-1
2.842620583E0,2.402283235E-1,2.768487042E-1,6.150275378E-1,7.159704775E-1
2.852561583E0,2.654131584E-1,2.001186168E-1,4.845188539E-1,5.875798884E-1
2.862503583E0,2.131371501E-1,2.084953380E-1,3.305429547E-1,4.451476110E-1
2.872445583E0,7.733425096E-2,1.077624303E-1,2.813493061E-1,3.110478417E-1
2.882386583E0,-2.438128129E-2,3.605744004E-2,2.594595234E-1,2.630852146E-1
2.892328583E0,-1.176576734E-2,3.062069893E-2,2.754436183E-1,2.773900635E-1
2.902270583E0,6.035386361E-2,-5.285239756E-2,2.980747548E-1,3.086819144E-1
2.912211583E0,1.523136820E-1,-1.342889088E-1,1.960055391E-1,2.822253357E-1
2.922153583E0,2.331794319E-1,-8.180020809E-2,4.004531421E-2,2.503348731E-1
2.932095583E0,3.713516229E-1,1.704755723E-2,-4.446917139E-2,3.743930478E-1
2.942036583E0,4.289087632E-1,1.485643011E-1,-4.062879324E-2,4.557244536E-1
2.951978583E0,2.882468279E-1,7.678271234E-2,-1.036932068E-1,3.158070611E-1
