"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.172510958E0,-1.208666984E-1,8.174056649E-2,1.840060294E-2,1.470675395E-1
2.182452958E0,-8.655362897E-2,6.463278294E-2,6.173490286E-3,1.081990725E-1
2.192394958E0,-3.116565943E-4,2.319619685E-2,-2.536756039E-2,3.437548252E-2
2.202336958E0,5.455218315E-2,-8.622596562E-3,-2.509040236E-2,6.066150467E-2
2.212278958E0,4.237195786E-2,-7.303757071E-3,3.132353425E-3,4.311077961E-2
2.222220958E0,3.580864102E-2,-5.914166272E-3,-2.775322437E-2,4.568892204E-2
2.232162958E0,3.214565277E-2,3.796597123E-3,-6.017545044E-2,6.832892490E-2
2.242104958E0,4.812258482E-4,2.662208050E-2,-6.934797764E-2,7.428397372E-2
2.252046958E0,-2.017545216E-2,3.897666246E-2,-6.744763255E-2,8.046994608E-2
2.261988958E0,-3.902015112E-2,5.327018112E-2,-5.917499185E-2,8.866771707E-2
2.271930958E0,-3.520228475E-2,6.028450102E-2,-1.757848442E-2,7.198906187E-2
2.281872958E0,-2.476244666E-2,4.334248602E-2,5.584090948E-4,4.992055368E-2
2.291814958E0,-2.373472542E-2,1.883972883E-2,-9.095343947E-3,3.163855013E-2
2.301756958E0,1.488518380E-2,3.332035840E-3,-1.162426472E-3,1.529779052E-2
2.311698958E0,7.199990921E-2,-5.208992064E-3,2.780935764E-3,7.224163708E-2
2.321640958E0,1.148513753E-1,-2.056962758E-2,-2.742227197E-2,1.198579534E-1
2.331582958E0,1.115436419E-1,-2.768539667E-2,-8.379060030E-4,1.149311417E-1
2.341524958E0,6.977866162E-2,-2.498807609E-3,1.512382329E-2,7.144253416E-2
2.351466958E0,1.956090979E-2,1.454728782E-2,2.513893425E-2,3.501740696E-2
2.361408958E0,-8.815993220E-3,2.940652460E-2,1.723759174E-3,3.074795556E-2
2.371350958E0,-5.645976417E-2,3.697252929E-2,-4.914877117E-2,8.348817042E-2
2.381292958E0,-8.403866842E-2,3.394747227E-2,-5.688346803E-2,1.070077455E-1
2.391234958E0,-6.361558668E-2,3.496225655E-2,-4.175438225E-2,8.374204851E-2
2.401176958E0,-3.831062805E-2,2.216211677E-2,-4.234495103E-2,6.125323272E-2
2.411118958E0,4.452143088E-3,4.768696725E-3,-2.503017604E-2,2.586642146E-2
